id,name,slug,batch,website,yc_url,location,region,teamSize,oneLiner,github_org,commit_velocity_30d,commit_velocity_90d,acceleration_ratio,active_repos,contributors,commits_per_employee,stabilized_efficiency,total_stars,total_forks,pr_merge_rate,issue_close_rate,founder_linkedin,founder_twitter
30849,MOVEdot,movedot,F25,https://www.movedot.ai/,https://www.ycombinator.com/companies/movedot,"San Francisco, CA, USA",United States of America,10.0,AI Agents for Hardware Engineering,movedot,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,,
30832,F2,f2,S25,http://f2.ai,https://www.ycombinator.com/companies/f2,"New York, NY, USA",United States of America,20.0,The AI platform for private markets investors,,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,,
30797,Veritus,veritus,S25,https://www.veritus.com,https://www.ycombinator.com/companies/veritus,"San Francisco, CA, USA",United States of America,10.0,AI agents for the consumer lending industry,veritus,0,0,0.0,0,0,0.0,0.0,3,0,0.99,0.49,,
31080,Didit,didit,W26,https://didit.me/,https://www.ycombinator.com/companies/didit,"San Francisco, CA, USA",United States of America,12.0,All-in-one identity platform for fast human verification.,didit-protocol,62,62,0.0,5,3,5.17,17.9,3,0,1.0,0.86,https://linkedin.com/in/albertorosasg,https://x.com/albertorosasg
30730,Idler,idler,S25,https://idler.ai/,https://www.ycombinator.com/companies/idler,"San Francisco, CA, USA",United States of America,14.0,Reinforcement learning environments. ,IdleRPGBot,0,0,0.0,0,0,0.0,0.0,6,2,0.0,0.0,,
30761,Reacher,reacher,S25,https://reacherapp.com/,https://www.ycombinator.com/companies/reacher,"San Francisco, CA, USA",United States of America,15.0,We automate creator marketing for the world's largest brands,reacherhq,1,6,0.2,1,3,0.4,1.55,8673,667,0.73,0.31,,
30598,GETASAP,getasap,S25,https://www.getasap.us,https://www.ycombinator.com/companies/getasap,"San Francisco, CA, USA",United States of America,17.0,8-hour Produce Distribution for Retailers of Any Size,getasaplondon,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,,
30740,Metis,metis,S25,https://withmetis.ai,https://www.ycombinator.com/companies/metis,"San Francisco, CA, USA",United States of America,13.0,Infrastructure to build reliable agents,MetisProtocol,2,127,0.02,4,47,9.77,35.22,28,27,0.83,0.96,https://linkedin.com/in/aryan-shah1,
30484,throxy,throxy,X25,https://throxy.com/,https://www.ycombinator.com/companies/throxy,Unknown,Unknown,15.0,Vertical AI agents that run the sales funnel on autopilot,throxy-ai,19,19,0.0,1,1,1.27,4.91,0,0,0.0,0.0,,
30496,QualGent,qualgent,X25,https://qualgent.link/qualgent,https://www.ycombinator.com/companies/qualgent,"San Francisco, CA, USA",United States of America,10.0,AI Mobile App Quality Assurance Tester,QualGent,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,,
30706,Solva,solva,S25,https://solvatechnology.com,https://www.ycombinator.com/companies/solva,Unknown,Unknown,15.0,Automates insurance claims and stops incorrect payouts,Solva-technology,0,18,0.0,5,2,1.2,4.65,0,2,0.0,0.0,,
30425,Auctor,auctor,X25,https://getauctor.com,https://www.ycombinator.com/companies/auctor,"New York, NY, USA",United States of America,15.0,The agentic operating system for modern system integrators.,AuctorLabs,0,0,0.0,0,0,0.0,0.0,5,0,0.0,0.0,,
30477,Casco,casco,X25,https://casco.com,https://www.ycombinator.com/companies/casco,Unknown,Unknown,10.0,"Autonomous security testing for web apps, APIs, cloud, and AI systems",cascode-labs,0,1,0.0,1,1,0.1,0.32,52,10,1.0,0.47,,
